pos,vertex,degree,p_size,cliques,seconds
436,2535,1,1,1,1.914999302243814e-06
437,10729,1,1,1,1.938999048434198e-06
438,109037,1,1,1,1.983000402105972e-06
439,84464,1,1,1,1.781998435035348e-06
440,80472,1,0,0,1.1140000424347818e-06
441,18953,1,1,1,2.096003299811855e-06
442,100876,1,1,1,1.700998836895451e-06
443,125455,1,1,1,1.944001269293949e-06
444,18959,1,1,1,1.6339981812052429e-06
445,125462,1,1,1,1.8999999156221747e-06
446,84511,1,1,1,1.877997419796884e-06
447,2591,1,1,1,1.8689970602281392e-06
448,120834,1,0,0,1.0600015230011195e-06
449,84513,1,1,1,1.8669998098630458e-06
450,84515,1,1,1,1.7140009731519967e-06
451,117290,1,1,1,1.986998540814966e-06
452,100912,1,1,1,2.3130014596972615e-06
453,117308,1,1,1,1.8719983927439898e-06
454,2627,1,1,1,1.543998223496601e-06
455,51779,1,1,1,2.239001332782209e-06
456,27221,1,1,1,1.7169986676890403e-06
457,2648,1,1,1,2.1330015442799777e-06
458,27224,1,1,1,2.0270017557777464e-06
459,43614,1,1,1,1.8419996195007116e-06
460,27244,1,1,1,1.9030012481380254e-06
461,92791,1,1,1,2.60199885815382e-06
462,100993,1,1,1,2.0659972506109625e-06
463,19077,1,1,1,1.782002073014155e-06
464,60059,1,1,1,2.124997990904376e-06
465,68261,1,1,1,3.392000508029014e-06
466,27302,1,1,1,2.8049980755895376e-06
467,27304,1,1,1,2.0939987734891474e-06
468,60076,1,1,1,2.18700006371364e-06
469,76465,1,1,1,1.8790015019476414e-06
470,101054,1,1,1,1.9859980966430157e-06
471,117442,1,1,1,1.7589991330169141e-06
472,12545,1,0,0,1.0590010788291693e-06
473,117446,1,1,1,1.8240025383420289e-06
474,60107,1,1,1,1.7999991541728377e-06
475,51969,1,1,1,1.6859994502738118e-06
476,80112,1,0,0,1.200998667627573e-06
477,84741,1,1,1,1.934000465553254e-06
478,19207,1,1,1,1.6410012904088944e-06
479,51983,1,1,1,1.7519996617920697e-06
480,109334,1,1,1,1.6840021999087185e-06
481,109341,1,1,1,1.948999852174893e-06
482,52132,1,0,0,1.1020019883289933e-06
483,11039,1,1,1,1.947999408002943e-06
484,63174,1,0,0,1.0920011845882982e-06
485,92963,1,1,1,2.201002644142136e-06
486,71299,1,0,0,1.052998413797468e-06
487,2858,1,1,1,2.643999323481694e-06
488,12205,1,0,0,1.9710023480001837e-06
489,101181,1,1,1,3.1130002753343433e-06
490,101182,1,1,1,3.2009993446990848e-06
491,101190,1,1,1,2.7149981178808957e-06
492,125768,1,1,1,3.3799988159444183e-06
493,93005,1,1,1,9.657299960963428e-05
494,76624,1,1,1,3.8050020521041006e-06
495,84817,1,1,1,2.300999767612666e-06
496,76643,1,1,1,1.6640005924273282e-06
497,101219,1,1,1,1.8640021153260022e-06
498,109416,1,1,1,2.2669992176815867e-06
499,109418,1,1,1,2.4319997464772314e-06
500,68472,1,1,1,1.8509999790694565e-06
501,19342,1,1,1,2.0219995349179953e-06
502,15635,1,0,0,1.314998371526599e-06
503,60313,1,1,1,2.0519983081612736e-06
504,52137,1,1,1,2.3190004867501557e-06
505,27561,1,1,1,1.6699996194802225e-06
506,126934,1,0,0,1.1400006769690663e-06
507,93099,1,1,1,2.1220002963673323e-06
508,60332,2,1,1,2.5669978640507907e-06
509,121149,1,0,0,1.1479969543870538e-06
510,2989,1,1,1,1.7920028767548501e-06
511,72605,1,0,0,1.0559997463133186e-06
512,60337,1,1,1,2.015000063693151e-06
513,27575,1,1,1,2.0810002752114087e-06
514,76751,1,1,1,1.981999957934022e-06
515,19411,1,1,1,1.8940008885692805e-06
516,101344,1,1,1,1.6699996194802225e-06
517,23705,1,0,0,1.18200114229694e-06
518,19436,1,1,1,1.935000909725204e-06
519,19445,1,1,1,5.093999789096415e-06
520,27638,1,1,1,1.863001671154052e-06
521,27641,1,1,1,2.0309998944867402e-06
522,36910,1,0,0,1.1499978427309543e-06
523,109564,1,1,1,2.058997779386118e-06
524,101379,1,1,1,1.9800027075689286e-06
525,19480,1,1,1,2.1800005924887955e-06
526,3105,1,1,1,1.8099999579135329e-06
527,3108,1,1,1,1.4350007404573262e-06
528,35882,1,1,1,2.072996721835807e-06
529,44075,1,1,1,6.068999937269837e-06
530,44083,1,1,1,2.2599997464567423e-06
531,117813,1,1,1,1.8479986465536058e-06
532,117818,1,1,1,1.877000613603741e-06
533,3138,1,1,1,0.00025557700064382516
534,3142,1,1,1,3.7059980968479067e-06
535,3151,1,1,1,2.025000867433846e-06
536,101461,1,1,1,4.6504999772878364e-05
537,101462,1,1,1,4.35699985246174e-06
538,63861,1,0,0,2.0129991753492504e-06
