pos,vertex,degree,p_size,cliques,seconds
417,1915,1,1,1,1.7460006347391754e-06
418,1921,1,1,1,1.7760003174771555e-06
419,51092,1,1,1,1.7960001059691422e-06
420,51093,1,1,1,2.476000190654304e-06
421,51095,1,1,1,2.380000296398066e-06
422,51096,1,1,1,1.8040000213659368e-06
423,75678,1,1,1,2.0900006347801536e-06
424,14367,1,0,0,1.0519997886149213e-06
425,34723,1,1,1,1.9299995983601548e-06
426,51118,1,1,1,1.8299997464055195e-06
427,53390,1,0,0,1.0000003385357559e-06
428,59311,1,1,1,1.8330001694266684e-06
429,59316,1,1,1,1.8869995983550325e-06
430,59319,1,1,1,1.8539994925959036e-06
431,48960,1,0,0,1.0049998309114017e-06
432,51136,1,1,1,2.61999957729131e-06
433,42964,1,1,1,1.9079998310189694e-06
434,32638,1,0,0,1.0949997886200435e-06
435,42967,1,1,1,1.7880001905723475e-06
436,34778,1,1,1,1.9500002963468432e-06
437,3064,1,0,0,1.1290003385511227e-06
438,42971,1,1,1,1.8179998733103275e-06
439,67548,1,1,1,2.0349998521851376e-06
440,26987,1,0,0,1.0639996617101133e-06
441,67549,1,1,1,2.5099998310906813e-06
442,10212,1,1,1,1.936999979079701e-06
443,67565,1,1,1,1.946000338648446e-06
444,59376,1,1,1,1.9660001271404326e-06
445,75785,1,1,1,1.6069998309831135e-06
446,61614,1,0,0,1.0739995559561066e-06
447,51210,1,1,1,2.10799953492824e-06
448,83979,1,1,1,1.7800002751755528e-06
449,75788,1,1,1,2.0050001694471575e-06
450,67599,1,1,1,1.794999661797192e-06
451,51217,1,1,1,1.759000042511616e-06
452,83995,1,1,1,1.9150002117385156e-06
453,51230,1,1,1,1.5380001059384085e-06
454,18462,1,1,1,1.6309995771734975e-06
455,75810,1,1,1,2.145000507880468e-06
456,10274,1,1,1,1.945999429153744e-06
457,2084,1,1,1,2.3270004021469504e-06
458,51238,1,1,1,2.0260004021110944e-06
459,34855,1,1,1,3.6020001061842777e-06
460,18473,1,1,1,1.942999915627297e-06
461,84017,1,1,1,2.240999492642004e-06
462,18486,1,1,1,1.787000655895099e-06
463,59448,1,1,1,1.8390001059742644e-06
464,64984,1,0,0,1.0510002539376728e-06
465,10307,1,1,1,1.94000040210085e-06
466,51268,1,1,1,1.6770000001997687e-06
467,51270,1,1,1,1.7299998944508843e-06
468,59471,1,1,1,1.880000127130188e-06
469,18522,1,1,1,1.761999556038063e-06
470,59510,1,1,1,1.8219998310087249e-06
471,59512,1,1,1,1.8780001482809894e-06
472,51321,1,1,1,1.6369995137210935e-06
473,18559,1,1,1,1.886000063677784e-06
474,51330,1,1,1,1.7839993233792484e-06
475,2179,1,1,1,1.7759994079824537e-06
476,10372,1,1,1,2.0320003386586905e-06
477,34950,1,1,1,1.6679996406310238e-06
478,61544,1,0,0,1.1479996828711592e-06
479,67719,1,1,1,1.743999746395275e-06
480,51336,1,1,1,1.782999788702e-06
481,5813,1,0,0,9.840005077421665e-07
482,67726,1,1,1,1.8990003809449263e-06
483,2195,1,1,1,1.720000000204891e-06
484,88768,1,0,0,9.740006134961732e-07
485,75925,1,1,1,1.7100001059588976e-06
486,2198,1,1,1,1.7359998309984803e-06
487,36722,1,0,0,9.959994713426568e-07
488,43176,1,1,1,1.9150002117385156e-06
489,43177,1,1,1,2.175000190618448e-06
490,38713,1,0,0,1.0649991963873617e-06
491,51370,1,1,1,2.220000169472769e-06
492,59579,1,1,1,1.6640005924273282e-06
493,54517,1,0,0,9.96999915514607e-07
494,75971,1,1,1,1.6860003597685136e-06
495,28272,1,0,0,9.51999936660286e-07
496,51399,1,1,1,1.4269999155658297e-06
497,18637,1,1,1,1.9560002328944393e-06
498,88437,1,0,0,1.0920002750935964e-06
499,75984,1,1,1,1.6639996829326265e-06
500,63449,1,0,0,9.7599968285067e-07
501,75986,1,1,1,1.8099999579135329e-06
502,10455,1,1,1,2.080999365716707e-06
503,43645,1,0,0,1.0590001693344675e-06
504,2264,1,1,1,2.0190000213915482e-06
505,26853,1,1,1,1.7479997040936723e-06
506,35049,1,1,1,2.0079996829736046e-06
507,35050,1,1,1,2.2909998733666725e-06
508,2294,1,1,1,1.9090002751909196e-06
509,10487,1,1,1,1.9170001905877143e-06
510,10501,1,1,1,1.440000232832972e-06
511,10504,1,1,1,1.75300010596402e-06
512,10505,1,1,1,1.4500001270789653e-06
513,51468,1,1,1,1.92199968296336e-06
514,67855,1,1,1,1.577999682922382e-06
515,35090,1,1,1,1.7279999156016856e-06
516,10523,1,1,1,1.8099999579135329e-06
517,52766,1,0,0,1.0160001693293452e-06
518,10528,1,1,1,1.914000677061267e-06
519,10529,1,1,1,1.996999344555661e-06
520,43301,1,1,1,1.6539997886866331e-06
521,26919,1,1,1,1.7520005712867714e-06
522,26920,1,1,1,2.2220001483219676e-06
523,26921,1,1,1,3.6410001484910026e-06
524,2346,1,1,1,1.976000021386426e-06
525,51504,1,1,1,1.8729997464106418e-06
526,26929,1,1,1,1.806999534892384e-06
527,84284,1,1,1,1.9110002540401183e-06
528,67912,1,1,1,2.243999915663153e-06
529,10571,1,1,1,1.8060000002151355e-06
530,35152,1,1,1,2.210999809904024e-06
531,35155,1,1,1,1.5469995560124516e-06
532,35163,1,1,1,2.046000190603081e-06
533,59740,1,1,1,2.2579997676075436e-06
534,59746,1,1,1,2.4729999495320953e-05
535,35171,1,1,1,4.757000169774983e-06
536,2405,1,1,1,3.0649998734588735e-06
537,26985,1,1,1,1.824999344535172e-06
538,26990,1,1,1,1.8939999790745787e-06
539,35182,1,1,1,1.9110002540401183e-06
540,64395,1,0,0,1.2500004231696948e-06
541,10612,1,1,1,1.901000359794125e-06
542,27021,1,1,1,1.997000254050363e-06
543,2446,1,1,1,2.0320003386586905e-06
544,2445,1,1,1,1.6969997886917554e-06
545,53144,1,0,0,1.0370004019932821e-06
546,59796,1,1,1,1.8959999579237774e-06
547,71418,1,0,0,1.0160001693293452e-06
548,35224,1,1,1,1.829000211728271e-06
549,51615,1,1,1,1.6699996194802225e-06
550,81178,1,0,0,1.0339999789721332e-06
551,35263,1,1,1,1.8040000213659368e-06
552,18880,1,1,1,4.665999767894391e-06
553,35270,1,1,1,1.647999852139037e-06
554,35272,1,0,0,9.959994713426568e-07
555,18894,1,1,1,1.964000148291234e-06
556,10704,1,1,1,1.7550000848132186e-06
557,18898,1,1,1,1.913000232889317e-06
558,68051,1,1,1,1.8659993656910956e-06
559,59859,1,1,1,1.749999682942871e-06
560,59863,1,1,1,2.1109999579493888e-06
561,18905,1,1,1,1.787000655895099e-06
562,73501,1,0,0,1.0900002962443978e-06
563,18906,1,1,1,1.7809998098528013e-06
564,10715,1,1,1,1.8660002751857974e-06
565,59866,1,1,1,1.8410000848234631e-06
566,68072,1,1,1,1.6280000636470504e-06
567,84492,1,1,1,1.4800007193116471e-06
568,35342,1,1,1,1.7920001482707448e-06
569,59928,1,1,1,1.7399997886968777e-06
570,27349,1,0,0,1.1479996828711592e-06
571,59929,1,1,1,1.8190003174822778e-06
572,59931,1,1,1,2.1440000637085177e-06
573,47044,1,0,0,1.1559995982679538e-06
574,68129,1,1,1,1.4739998732693493e-06
575,59954,1,1,1,1.8010005078394897e-06
576,64024,1,0,0,1.0260000635753386e-06
577,59960,1,1,1,1.6889998732949607e-06
578,59971,1,1,1,2.3840002540964633e-06
579,10823,1,1,1,2.0079996829736046e-06
580,27211,1,1,1,1.4469997040578164e-06
581,10827,1,1,1,1.9480003174976446e-06
582,68188,1,1,1,1.7469992599217221e-06
583,51805,1,1,1,1.8569999156170525e-06
584,35433,1,1,1,1.8090004232362844e-06
585,35435,1,1,1,1.946000338648446e-06
586,60013,1,1,1,3.311000000394415e-06
587,60015,1,1,1,1.7720003597787581e-06
588,84596,1,1,1,1.8000000636675395e-06
589,84597,1,1,1,1.9780000002356246e-06
590,2691,1,1,1,1.8259997887071222e-06
591,2699,1,1,1,2.18700006371364e-06
592,2706,1,1,1,1.953999344550539e-06
593,10899,2,1,1,2.4860000849002972e-06
594,43668,1,1,1,1.8159998944611289e-06
595,10902,1,1,1,1.8629998521646485e-06
596,44252,2,0,0,1.407000127073843e-06
597,10903,1,1,1,2.3610000425833277e-06
598,76446,1,1,1,1.9240005713072605e-06
599,56672,1,0,0,9.980003596865572e-07
600,68257,1,1,1,1.8089995137415826e-06
601,62726,1,0,0,1.052000698109623e-06
602,68266,1,1,1,2.010000571317505e-06
603,76460,1,1,1,2.287000825162977e-06
604,35511,1,1,1,2.1979994926368818e-06
605,84673,1,1,1,1.8000000636675395e-06
606,84674,1,1,1,1.874000190582592e-06
607,19348,1,0,0,1.035999957821332e-06
