pos,vertex,degree,p_size,cliques,seconds
81,126096,0,0,1,1.6299986782541964e-07
82,130185,0,0,1,1.6200010577449575e-07
83,130699,0,0,1,1.580001480760984e-07
84,107158,0,0,1,1.5700015865149908e-07
85,102552,0,0,1,1.6099988897622097e-07
86,127131,0,0,1,1.5999989955162164e-07
87,127133,0,0,1,1.6300009519909509e-07
88,111263,0,0,1,1.6099988897622097e-07
89,118944,0,0,1,1.6200010577449575e-07
90,130208,0,0,1,1.6500007404829375e-07
91,130209,0,0,1,1.6100011634989642e-07
92,128166,0,0,1,2.0099992070754524e-07
93,130214,0,0,1,1.649998466746183e-07
94,127144,0,0,1,1.6500007404829375e-07
95,126633,0,0,1,1.9000003703695256e-07
96,130217,0,0,1,1.7299998944508843e-07
97,130730,0,0,1,1.6399985725001898e-07
98,123056,0,0,1,1.6100011634989642e-07
99,121011,0,0,1,1.999999312829459e-07
100,121523,0,0,1,1.6300009519909509e-07
101,120506,0,0,1,1.6500007404829375e-07
102,95420,0,0,1,1.660000634728931e-07
103,96445,0,0,1,1.5900013750069775e-07
104,95934,0,0,1,1.6300009519909509e-07
105,112830,0,0,1,1.619998784008203e-07
106,123072,0,0,1,1.619998784008203e-07
107,116417,0,0,1,1.6099988897622097e-07
108,124609,0,0,1,1.6200010577449575e-07
109,130244,0,0,1,1.6200010577449575e-07
110,116421,0,0,1,9.360001058666967e-07
111,128197,0,0,1,3.710001692525111e-07
112,124616,0,0,1,3.550001110852463e-07
113,102601,0,0,1,3.850000211969018e-07
114,123593,0,0,1,2.9900002118665725e-07
115,117963,0,0,1,2.760000370471971e-07
116,110287,0,0,1,3.0199998946045525e-07
117,125648,0,0,1,2.3000006876827683e-07
118,95953,0,0,1,1.7999991541728377e-07
119,126160,0,0,1,1.7000002117129043e-07
120,122579,0,0,1,2.61999957729131e-07
121,96468,0,0,1,2.0099992070754524e-07
122,128211,0,0,1,1.649998466746183e-07
123,129743,0,0,1,1.559999418532243e-07
124,96471,0,0,1,2.109998149535386e-07
125,124632,0,0,1,1.6399985725001898e-07
126,131804,0,0,1,1.6700005289749242e-07
127,130787,0,0,1,1.660000634728931e-07
128,129765,0,0,1,1.660000634728931e-07
129,119014,0,0,1,1.660000634728931e-07
130,123622,0,0,1,1.6800004232209176e-07
131,127727,0,0,1,1.6200010577449575e-07
132,102129,0,0,1,1.6300009519909509e-07
133,130290,0,0,1,2.950000634882599e-07
134,111859,0,0,1,2.890001269406639e-07
135,95477,0,0,1,3.440000000409782e-07
136,130805,0,0,1,2.64999926002929e-07
137,129274,0,0,1,2.9000011636526324e-07
138,96508,0,0,1,3.2100001590151805e-07
139,126720,0,0,1,2.920000952144619e-07
140,125186,0,0,1,3.160000687785214e-07
141,123147,0,0,1,2.73999830824323e-07
142,120076,0,0,1,1.0339999789721332e-06
143,126219,0,0,1,6.19000047663576e-07
144,130315,0,0,1,7.420001111313468e-07
145,131340,0,0,1,3.51000153386849e-07
146,127773,0,0,1,1.7299998944508843e-07
147,129822,0,0,1,1.8600007933855522e-07
148,126757,0,0,1,2.8299996301939245e-07
149,118567,0,0,1,3.3799999528127955e-06
150,129324,0,0,1,2.070000846288167e-07
151,129325,0,0,1,1.720000000204891e-07
152,113970,0,0,1,1.6800004232209176e-07
153,105779,0,0,1,1.6300009519909509e-07
154,121140,0,0,1,1.6800004232209176e-07
155,101686,0,0,1,2.040001163550187e-07
156,130870,0,0,1,1.6100011634989642e-07
157,113978,0,0,1,1.6599983609921765e-07
158,107834,0,0,1,2.0399988898134325e-07
159,130364,0,0,1,1.6800004232209176e-07
160,107842,0,0,1,1.6400008462369442e-07
161,119107,0,0,1,1.6500007404829375e-07
162,126276,0,0,1,1.6700005289749242e-07
163,128326,0,0,1,1.6399985725001898e-07
164,130376,0,0,1,1.5900013750069775e-07
165,118607,0,0,1,1.6300009519909509e-07
166,128847,0,0,1,1.619998784008203e-07
167,117585,0,0,1,1.5999989955162164e-07
168,128338,0,0,1,1.5900013750069775e-07
169,120147,0,0,1,1.6300009519909509e-07
170,120659,0,0,1,1.6299986782541964e-07
171,102230,0,0,1,1.6100011634989642e-07
172,128344,0,0,1,1.6500007404829375e-07
173,125789,0,0,1,1.779999365680851e-07
174,109410,0,0,1,1.7399997886968777e-07
175,128866,0,0,1,1.7100001059588976e-07
176,131428,0,0,1,1.6699982552381698e-07
177,124774,0,0,1,1.9599997358454857e-07
178,129899,0,0,1,1.6299986782541964e-07
179,119148,0,0,1,1.589999101270223e-07
180,124780,0,0,1,1.5799992070242297e-07
181,128368,0,0,1,1.8300011106475722e-07
182,102258,0,0,1,1.7000002117129043e-07
183,111986,0,0,1,1.649998466746183e-07
184,123762,0,0,1,1.5900013750069775e-07
185,128884,0,0,1,1.6099988897622097e-07
186,131443,0,0,1,1.6200010577449575e-07
187,94071,0,0,1,1.6099988897622097e-07
188,119679,0,0,1,1.6000012692529708e-07
189,129409,0,0,1,1.9000003703695256e-07
190,98178,0,0,1,1.5999989955162164e-07
191,117634,0,0,1,1.6500007404829375e-07
192,126850,0,0,1,1.6299986782541964e-07
193,125319,0,0,1,1.5900013750069775e-07
194,126859,0,0,1,1.6300009519909509e-07
195,129932,0,0,1,1.5699993127782363e-07
196,130452,0,0,1,1.5600016922689974e-07
197,128919,0,0,1,1.6000012692529708e-07
198,104856,0,0,1,1.5499995242862497e-07
199,111010,0,0,1,1.589999101270223e-07
200,115106,0,0,1,1.6100011634989642e-07
201,119202,0,0,1,1.7899992599268444e-07
202,112553,0,0,1,1.6800004232209176e-07
203,124843,0,0,1,1.6599983609921765e-07
204,116652,0,0,1,1.6300009519909509e-07
205,114094,0,0,1,1.649998466746183e-07
206,127406,0,0,1,1.969999630091479e-07
207,128944,0,0,1,1.6200010577449575e-07
208,129966,0,0,1,1.619998784008203e-07
209,120754,0,0,1,1.619998784008203e-07
210,127923,0,0,1,1.6800004232209176e-07
211,119734,0,0,1,1.619998784008203e-07
212,128952,0,0,1,1.6100011634989642e-07
213,131518,0,0,1,1.589999101270223e-07
214,123840,0,0,1,1.880000581877539e-07
215,122305,0,0,1,1.6100011634989642e-07
216,123330,0,0,1,1.660000634728931e-07
217,124866,0,0,1,1.6500007404829375e-07
218,127426,0,0,1,1.649998466746183e-07
219,130497,0,0,1,1.589999101270223e-07
220,124358,0,0,1,1.6400008462369442e-07
221,98761,0,0,1,1.660000634728931e-07
222,112587,0,0,1,1.969999630091479e-07
223,129995,0,0,1,1.8699984138947912e-07
224,127437,0,0,1,1.6800004232209176e-07
225,122831,0,0,1,1.6300009519909509e-07
226,99795,0,0,1,1.6299986782541964e-07
227,130515,0,0,1,1.9300000531075057e-07
228,128982,0,0,1,1.6399985725001898e-07
229,126424,0,0,1,1.6500007404829375e-07
230,94169,0,0,1,1.6800004232209176e-07
231,129496,0,0,1,1.6400008462369442e-07
232,118753,0,0,1,1.6400008462369442e-07
233,96738,0,0,1,1.6400008462369442e-07
234,131042,0,0,1,1.6300009519909509e-07
235,125924,0,0,1,1.6400008462369442e-07
236,101861,0,0,1,1.619998784008203e-07
237,125418,0,0,1,1.6300009519909509e-07
238,118251,0,0,1,1.6399985725001898e-07
239,118764,0,0,1,1.969999630091479e-07
240,105965,0,0,1,1.6300009519909509e-07
241,121835,0,0,1,1.6399985725001898e-07
242,127467,0,0,1,1.5999989955162164e-07
243,110576,0,0,1,1.5799992070242297e-07
244,127470,0,0,1,1.6299986782541964e-07
245,130033,0,0,1,1.6400008462369442e-07
246,97269,0,0,1,1.589999101270223e-07
247,131576,0,0,1,2.659999154275283e-07
248,0,1,1,1,1.6942999991442775e-05
249,131072,1,1,1,6.826000117143849e-06
250,131073,1,1,1,2.9010000162088545e-06
251,131074,1,0,0,1.7290001323999604e-06
252,131075,1,1,1,3.114999799436191e-06
253,131077,1,1,1,2.0929999209329253e-06
