timestamp,graph,task,speed,period_us,run,seconds,steal_s
2026-09-23T00:29:14,soc-sign-epinions.txt.gz,mid,0.75,10000,1,1.2790,0.01
2026-09-23T00:29:15,soc-sign-epinions.txt.gz,light,0.75,10000,1,1.1426,0.01
2026-09-23T00:29:16,soc-sign-epinions.txt.gz,loop,0.5,10000,1,1.4174,0.01
2026-09-23T00:29:18,soc-sign-epinions.txt.gz,heavy,0.5,10000,1,1.4201,0.01
2026-09-23T00:29:20,soc-sign-epinions.txt.gz,mid,0.5,10000,1,2.0098,0.02
2026-09-23T00:29:22,soc-sign-epinions.txt.gz,light,0.5,10000,1,1.7761,0.02
2026-09-23T00:29:23,soc-sign-epinions.txt.gz,loop,0.43,10000,1,1.6500,0.01
2026-09-23T00:29:25,soc-sign-epinions.txt.gz,heavy,0.43,10000,1,1.6698,0.03
2026-09-23T00:29:27,soc-sign-epinions.txt.gz,mid,0.43,10000,1,2.3801,0.10
2026-09-23T00:29:29,soc-sign-epinions.txt.gz,light,0.43,10000,1,2.1740,0.04
2026-09-23T00:29:32,soc-sign-epinions.txt.gz,loop,0.26,10000,1,2.8544,0.09
2026-09-23T00:29:35,soc-sign-epinions.txt.gz,heavy,0.26,10000,1,2.8721,0.07
2026-09-23T00:29:39,soc-sign-epinions.txt.gz,mid,0.26,10000,1,3.9932,0.07
2026-09-23T00:29:43,soc-sign-epinions.txt.gz,light,0.26,10000,1,3.6412,0.04
2026-09-23T00:29:44,soc-sign-epinions.txt.gz,loop,1.0,10000,2,0.7228,0.02
2026-09-23T00:29:44,soc-sign-epinions.txt.gz,heavy,1.0,10000,2,0.7233,0.03
2026-09-23T00:29:45,soc-sign-epinions.txt.gz,mid,1.0,10000,2,1.0024,0.04
2026-09-23T00:29:46,soc-sign-epinions.txt.gz,light,1.0,10000,2,0.8660,0.01
2026-09-23T00:29:47,soc-sign-epinions.txt.gz,loop,0.75,10000,2,0.9386,0.02
2026-09-23T00:29:48,soc-sign-epinions.txt.gz,heavy,0.75,10000,2,0.9176,0.01
2026-09-23T00:29:49,soc-sign-epinions.txt.gz,mid,0.75,10000,2,1.3007,0.01
2026-09-23T00:29:50,soc-sign-epinions.txt.gz,light,0.75,10000,2,1.1408,0.01
2026-09-23T00:29:52,soc-sign-epinions.txt.gz,loop,0.5,10000,2,1.4341,0.02
2026-09-23T00:29:53,soc-sign-epinions.txt.gz,heavy,0.5,10000,2,1.4187,0.03
2026-09-23T00:29:55,soc-sign-epinions.txt.gz,mid,0.5,10000,2,1.9833,0.05
2026-09-23T00:29:57,soc-sign-epinions.txt.gz,light,0.5,10000,2,1.7821,0.03
2026-09-23T00:29:59,soc-sign-epinions.txt.gz,loop,0.43,10000,2,1.6474,0.00
2026-09-23T00:30:00,soc-sign-epinions.txt.gz,heavy,0.43,10000,2,1.6427,0.01
2026-09-23T00:30:03,soc-sign-epinions.txt.gz,mid,0.43,10000,2,2.3343,0.05
2026-09-23T00:30:05,soc-sign-epinions.txt.gz,light,0.43,10000,2,2.0950,0.02
2026-09-23T00:30:08,soc-sign-epinions.txt.gz,loop,0.26,10000,2,2.7786,0.04
2026-09-23T00:30:10,soc-sign-epinions.txt.gz,heavy,0.26,10000,2,2.7696,0.02
2026-09-23T00:30:14,soc-sign-epinions.txt.gz,mid,0.26,10000,2,3.9385,0.06
2026-09-23T00:30:18,soc-sign-epinions.txt.gz,light,0.26,10000,2,3.5411,0.03
2026-09-23T00:30:19,soc-sign-epinions.txt.gz,loop,1.0,100000,0,0.7084,0.00
2026-09-23T00:30:20,soc-sign-epinions.txt.gz,heavy,1.0,100000,0,0.6762,0.01
2026-09-23T00:30:21,soc-sign-epinions.txt.gz,mid,1.0,100000,0,0.9730,0.01
2026-09-23T00:30:22,soc-sign-epinions.txt.gz,light,1.0,100000,0,0.8286,0.00
2026-09-23T00:30:23,soc-sign-epinions.txt.gz,loop,0.75,100000,0,0.9194,0.01
2026-09-23T00:30:23,soc-sign-epinions.txt.gz,heavy,0.75,100000,0,0.8925,0.00
2026-09-23T00:30:25,soc-sign-epinions.txt.gz,mid,0.75,100000,0,1.2691,0.01
2026-09-23T00:30:26,soc-sign-epinions.txt.gz,light,0.75,100000,0,1.1188,0.01
2026-09-23T00:30:27,soc-sign-epinions.txt.gz,loop,0.5,100000,0,1.3657,0.01
2026-09-23T00:30:29,soc-sign-epinions.txt.gz,heavy,0.5,100000,0,1.3938,0.04
2026-09-23T00:30:31,soc-sign-epinions.txt.gz,mid,0.5,100000,0,1.9331,0.06
2026-09-23T00:30:32,soc-sign-epinions.txt.gz,light,0.5,100000,0,1.6956,0.02
2026-09-23T00:30:34,soc-sign-epinions.txt.gz,loop,0.43,100000,0,1.5683,0.01
2026-09-23T00:30:35,soc-sign-epinions.txt.gz,heavy,0.43,100000,0,1.5258,0.00
2026-09-23T00:30:38,soc-sign-epinions.txt.gz,mid,0.43,100000,0,2.2626,0.01
2026-09-23T00:30:40,soc-sign-epinions.txt.gz,light,0.43,100000,0,1.9953,0.06
2026-09-23T00:30:42,soc-sign-epinions.txt.gz,loop,0.26,100000,0,2.6192,0.01
2026-09-23T00:30:45,soc-sign-epinions.txt.gz,heavy,0.26,100000,0,2.6827,0.02
2026-09-23T00:30:49,soc-sign-epinions.txt.gz,mid,0.26,100000,0,3.7167,0.06
2026-09-23T00:30:52,soc-sign-epinions.txt.gz,light,0.26,100000,0,3.3108,0.03
2026-09-23T00:30:53,soc-sign-epinions.txt.gz,loop,1.0,100000,1,0.7014,0.01
2026-09-23T00:30:53,soc-sign-epinions.txt.gz,heavy,1.0,100000,1,0.6737,0.00
