pos,vertex,degree,p_size,cliques,seconds
247,17737,1,1,1,1.763000909704715e-06
248,17738,1,1,1,2.2599997464567423e-06
249,42320,1,1,1,2.526001480873674e-06
250,11423,1,0,0,1.3860008039046079e-06
251,124245,1,1,1,1.8610007828101516e-06
252,1369,1,1,1,2.2080021153669804e-06
253,42331,1,1,1,1.986998540814966e-06
254,79424,1,0,0,1.4329998521134257e-06
255,42343,1,1,1,2.3460015654563904e-06
256,107888,1,1,1,2.5609988369978964e-06
257,8073,1,0,0,1.424999936716631e-06
258,1400,1,1,1,2.5800000003073364e-06
259,58752,1,1,1,2.507000317564234e-06
260,75146,1,1,1,2.4809996830299497e-06
261,45827,1,0,0,1.3999997463542968e-06
262,58766,1,1,1,2.0980005501769483e-06
263,99757,1,1,1,2.1129999367985874e-06
264,66996,1,1,1,1.7970014596357942e-06
265,124363,1,1,1,2.415999915683642e-06
266,17868,1,1,1,2.0429979485925287e-06
267,50637,1,1,1,2.306001988472417e-06
268,9679,1,1,1,2.210999809904024e-06
269,50643,1,1,1,2.7599999157246202e-06
270,116180,1,1,1,2.0560000848490745e-06
271,17876,1,1,1,2.025997673626989e-06
272,99802,1,1,1,2.18700006371364e-06
273,83425,1,1,1,2.321001375094056e-06
274,91618,1,1,1,4.034998710267246e-06
275,32755,1,0,0,1.5750010788906366e-06
276,26086,1,1,1,2.362998202443123e-06
277,116211,1,1,1,2.2140011424198747e-06
278,67068,1,1,1,2.177999704144895e-06
279,116231,1,1,1,2.5149965949822217e-06
280,132620,1,1,1,2.2089989215601236e-06
281,132632,1,1,1,2.163000317523256e-06
282,91688,1,1,1,2.192002284573391e-06
283,91692,1,1,1,2.291999408043921e-06
284,26169,1,1,1,2.220000169472769e-06
285,17980,1,1,1,2.2860003809910268e-06
286,26174,1,1,1,2.34500112128444e-06
287,67143,1,1,1,2.6999987312592566e-06
288,50760,1,1,1,2.3850006982684135e-06
289,108113,1,1,1,2.30599835049361e-06
290,99924,1,1,1,2.120999852195382e-06
291,30701,1,0,0,1.4550023479387164e-06
292,132716,1,1,1,2.5510016712360084e-06
293,69500,1,0,0,1.5110017557162791e-06
294,50815,1,1,1,1.8359969544690102e-06
295,108175,1,1,1,2.311000571353361e-06
296,108183,1,1,1,2.2280000848695636e-06
297,80998,1,0,0,1.4739998732693493e-06
298,108190,1,1,1,2.4670007405802608e-06
299,18081,1,1,1,2.3139982658904046e-06
300,59041,1,1,1,2.4619985197205096e-06
301,116398,1,1,1,2.3840002540964633e-06
302,63553,1,0,0,1.5590012480970472e-06
303,124592,1,1,1,2.4179971660487354e-06
304,132804,1,1,1,2.0940024114679545e-06
305,42700,1,1,1,2.143002348020673e-06
306,35631,1,0,0,1.4449979062192142e-06
307,75472,1,1,1,2.4460023269057274e-06
308,116454,1,1,1,2.4930013751145452e-06
309,59112,1,1,1,2.5410008674953133e-06
310,50922,1,1,1,2.2650019673164934e-06
311,21008,1,0,0,1.4430006558541209e-06
312,26355,1,1,1,2.420998498564586e-06
313,42746,1,1,1,2.3619977582711726e-06
314,26362,1,1,1,2.2659987735096365e-06
315,37286,1,0,0,1.3690005289390683e-06
316,108288,1,1,1,2.2669992176815867e-06
317,50946,1,1,1,2.3860011424403638e-06
318,108291,1,1,1,2.2050007828511298e-06
319,119219,1,0,0,7.538001227658242e-06
320,42774,1,1,1,2.3699976736679673e-06
321,109908,1,0,0,1.5240002539940178e-06
322,10017,1,1,1,2.253000275231898e-06
323,59182,1,1,1,2.149001375073567e-06
324,50991,1,1,1,2.153999957954511e-06
325,59186,1,1,1,2.2950007405597717e-06
326,26434,1,1,1,2.277000021422282e-06
327,109687,1,0,0,1.467997208237648e-06
328,10058,1,1,1,2.1220002963673323e-06
329,59224,1,1,1,2.3649990907870233e-06
330,132953,1,1,1,2.8329995984677225e-06
331,26480,1,1,1,2.3270004021469504e-06
332,83830,1,1,1,2.359000063734129e-06
333,108408,1,1,1,1.9409999367780983e-06
334,10116,1,1,1,2.2810017981100827e-06
335,10117,1,1,1,2.6800007617566735e-06
336,42887,1,1,1,4.4289990910328925e-06
337,124809,1,1,1,2.253000275231898e-06
338,37264,1,0,0,1.4800025383010507e-06
339,1933,1,1,1,2.2840031306259334e-06
340,51101,1,1,1,1.919997885124758e-06
341,133024,1,1,1,2.3079992388375103e-06
342,133029,1,1,1,2.4669971026014537e-06
343,10174,1,1,1,2.2999993234407157e-06
344,1987,1,1,1,6.390997441485524e-06
345,77979,1,0,0,2.7480018616188318e-06
346,108487,1,1,1,7.0019996201153845e-06
347,51146,1,1,1,3.3910000638570637e-06
348,133102,1,1,1,2.787000994430855e-06
349,84458,1,0,0,1.5879995771683753e-06
350,59381,1,1,1,2.44499824475497e-06
351,73083,1,0,0,1.5370023902505636e-06
352,83966,1,1,1,2.662996848812327e-06
353,124929,1,1,1,2.545002644183114e-06
354,43010,1,1,1,2.529999619582668e-06
355,108548,1,1,1,2.5280023692175746e-06
356,124933,1,1,1,2.1840023691765964e-06
357,43685,1,0,0,1.462998625356704e-06
358,92190,1,1,1,2.4479995772708207e-06
359,34866,1,1,1,2.3169995984062552e-06
360,34869,1,1,1,2.091001078952104e-06
361,59461,1,1,1,2.2180029191076756e-06
362,125001,1,1,1,2.1790001483168453e-06
363,28865,1,0,0,1.5080004232004285e-06
364,100465,1,1,1,2.172000677092001e-06
365,59507,1,1,1,2.5800000003073364e-06
366,2167,1,1,1,1.8949976947624236e-06
367,125054,1,1,1,2.2519998310599476e-06
368,36146,1,0,0,1.5420009731315076e-06
369,67719,1,1,1,2.4289984139613807e-06
370,67720,1,1,1,2.253000275231898e-06
371,59538,1,1,1,2.1989981178194284e-06
372,59549,1,1,1,2.3000029614195228e-06
373,59550,1,1,1,2.32499951380305e-06
374,59556,1,1,1,2.4799992388579994e-06
375,97688,1,0,0,1.5069999790284783e-06
376,116902,1,1,1,1.987998984986916e-06
377,2218,1,1,1,2.311997377546504e-06
378,88728,1,0,0,1.5270015865098685e-06
379,51378,1,1,1,2.2189997253008187e-06
380,59570,1,1,1,2.2839994926471263e-06
381,84150,1,1,1,1.9599974621087313e-06
382,108734,1,1,1,2.191998646594584e-06
383,51407,1,1,1,2.2139975044410676e-06
384,2255,1,1,1,2.5330009520985186e-06
385,84186,1,1,1,2.2860003809910268e-06
386,100581,1,1,1,2.181997842853889e-06
387,59625,1,1,1,1.9850012904498726e-06
388,26860,1,1,1,2.6529996830504388e-06
389,26861,1,1,1,2.420001692371443e-06
390,51439,1,1,1,2.1609994291793555e-06
391,125170,1,1,1,2.0760016923304647e-06
392,43279,1,1,1,2.1699997887481004e-06
393,59667,1,1,1,2.1619998733513057e-06
394,100629,1,1,1,2.267999661853537e-06
395,100630,1,1,1,2.1619998733513057e-06
396,86902,1,0,0,1.4370016288012266e-06
397,108825,1,1,1,2.106000465573743e-06
398,60473,1,0,0,1.510998117737472e-06
399,108826,1,1,1,2.3569991753902286e-06
400,84259,1,1,1,6.319998647086322e-06
401,51495,1,1,1,2.5720000849105418e-06
402,125233,1,1,1,2.472999767633155e-06
403,59699,1,1,1,1.9750004867091775e-06
404,94753,1,0,0,1.4699980965815485e-06
405,59700,1,1,1,2.0839979697484523e-06
406,67894,1,1,1,2.2420026652980596e-06
407,26936,1,1,1,2.519998815841973e-06
408,84302,1,1,1,2.4430009943898767e-06
409,35161,1,1,1,2.2559979697689414e-06
410,13641,1,0,0,1.4079996617510915e-06
411,51547,1,1,1,2.128999767592177e-06
412,18782,1,1,1,2.3230022634379566e-06
413,125281,1,1,1,2.434000634821132e-06
414,100716,1,1,1,2.311000571353361e-06
415,84334,1,1,1,2.164000761695206e-06
416,92539,1,1,1,2.5469998945482075e-06
417,100736,1,1,1,2.34500112128444e-06
418,27011,1,1,1,2.092001523124054e-06
419,18999,1,0,0,1.4379984349943697e-06
420,92554,1,1,1,2.405999111942947e-06
421,92555,1,1,1,2.1330015442799777e-06
422,108945,1,1,1,2.676999429240823e-06
423,2449,1,1,1,2.3089996830094606e-06
424,10643,1,1,1,2.201999450335279e-06
425,108947,1,1,1,2.0939987734891474e-06
426,59802,1,1,1,2.3699976736679673e-06
427,59810,1,1,1,2.2980020730756223e-06
428,92578,1,1,1,2.016000507865101e-06
429,21006,1,0,0,1.4920005924068391e-06
