pos,vertex,degree,p_size,cliques,seconds
2039,69106,2,1,0,1.7220008885487914e-06
2040,26144,2,2,1,3.4340009733568877e-06
2041,34338,2,2,1,3.7720019463449717e-06
2042,5874,2,1,0,1.815002178773284e-06
2043,67106,2,2,1,3.5479970392771065e-06
2044,1570,2,2,2,3.6720011848956347e-06
2045,75304,2,2,1,3.558998287189752e-06
2046,75305,2,2,1,3.430999640841037e-06
2047,71950,2,1,0,1.7499987734481692e-06
2048,51056,2,0,0,1.772998075466603e-06
2049,67114,2,2,1,3.321998519822955e-06
2050,75315,2,2,1,3.34899959852919e-06
2051,42550,2,2,1,3.4519980545155704e-06
2052,51804,2,1,0,1.8290011212229729e-06
2053,67129,2,2,1,3.3240030461456627e-06
2054,61133,2,1,0,1.6140002117026597e-06
2055,59061,2,0,0,1.6539997886866331e-06
2056,75323,2,2,1,3.086999640800059e-06
2057,30522,2,1,0,1.8420032574795187e-06
2058,84827,2,0,0,1.734002580633387e-06
2059,26180,5,2,1,5.297999450704083e-06
2060,26184,2,2,1,3.6090023058932275e-06
2061,9801,2,2,1,3.693996404763311e-06
2062,9802,2,2,1,3.4620024962350726e-06
2063,83539,2,2,1,3.340999683132395e-06
2064,67171,2,2,1,3.0659975891467184e-06
2065,22010,2,1,0,1.8930004443973303e-06
2066,5642,2,0,0,1.6560006770305336e-06
2067,42599,2,2,1,3.479002771200612e-06
2068,9833,2,2,1,3.4770018828567117e-06
2069,34410,2,2,1,3.0660012271255255e-06
2070,34414,2,2,1,3.1230010790750384e-06
2071,13268,2,1,0,1.6849990061018616e-06
2072,47779,6,1,1,4.295001417631283e-06
2073,1657,2,2,1,3.36900120601058e-06
2074,42618,2,2,1,3.216999175492674e-06
2075,42621,2,2,1,3.3659998734947294e-06
2076,59006,2,2,1,3.24900247505866e-06
2077,1663,2,2,1,3.254001057939604e-06
2078,26251,2,2,1,3.2819989428389817e-06
2079,67213,2,2,1,3.454999387031421e-06
2080,42637,2,2,1,3.5320008464623243e-06
2081,42641,2,2,1,3.4240001696161926e-06
2082,50841,2,2,1,3.3890028134919703e-06
2083,67228,2,2,2,3.967998054577038e-06
2084,9885,2,2,2,3.441000444581732e-06
2085,67231,2,2,1,3.498000296531245e-06
2086,42676,2,2,1,3.6900019040331244e-06
2087,9909,2,2,1,3.088996891165152e-06
2088,59063,2,2,1,3.701999958138913e-06
2089,13535,2,1,0,1.8229984561912715e-06
2090,75454,2,2,2,3.5759985621552914e-06
2091,26302,2,2,1,3.716999344760552e-06
2092,26303,2,2,1,3.4959994081873447e-06
2093,67270,2,2,1,3.3389987947884947e-06
2094,9926,2,2,1,2.826000127242878e-06
2095,67281,2,2,1,3.484001354081556e-06
2096,59096,2,2,2,2.9631999495904893e-05
2097,9956,2,2,1,7.833001291146502e-06
2098,9957,2,2,1,5.614001565845683e-06
2099,42738,2,2,1,3.9570004446431994e-06
2100,50937,2,2,1,3.7669997254852206e-06
